Redness,Yellowness,Mass,Volume,Class
5,2,130,25,apple
4,3,120,19,peach
3,3,110,34,orange
3,4,160,29,orange
6,2,150,39,apple
3,5,150,26,orange
3,4,100,29,orange
2,5,130,18,lemon
2,5,120,11,lemon
6,2,90,23,apple
3,4,160,22,orange
3,3,170,24,peach
3,3,160,24,orange
3,4,160,26,orange
2,5,110,10,lemon
2,5,120,20,lemon
4,3,130,23,peach
3,4,140,19,orange
2,4,80,19,orange
2,5,130,12,lemon
4,3,180,20,peach
4,3,110,23,peach
5,2,150,28,apple
4,3,190,24,peach
4,3,90,26,peach
5,2,160,30,apple
3,4,100,26,orange
5,2,100,27,apple
2,5,120,13,lemon
2,5,120,12,lemon
4,3,80,19,peach
5,2,100,25,apple
5,2,200,36,apple
2,5,120,13,lemon
6,2,150,39,apple
2,4,120,17,orange
3,4,180,25,orange
3,5,130,27,orange
2,5,130,15,lemon
2,5,120,16,lemon
5,2,130,26,apple
5,2,160,32,apple
3,4,140,21,orange
4,3,100,24,peach
4,3,130,19,peach
5,1,120,35,apple
4,4,140,11,peach
2,5,120,14,lemon
6,2,140,22,apple
3,4,210,24,orange
3,5,180,20,orange
2,5,110,23,lemon
3,3,200,21,orange
4,3,120,20,peach
5,2,120,31,apple
2,5,120,16,lemon
2,5,140,21,orange
2,5,120,12,lemon
3,4,100,34,orange
2,5,110,12,lemon
2,5,130,18,lemon
2,5,120,14,lemon
2,5,120,16,lemon
3,4,120,26,orange
2,5,110,9,lemon
3,4,160,31,orange
4,2,130,20,peach
4,3,160,21,peach
5,2,150,24,apple
4,3,160,11,peach
2,5,120,16,lemon
3,4,90,22,orange
2,4,210,21,orange
5,2,200,29,apple
4,2,160,21,peach
2,5,120,12,lemon
4,3,120,22,peach
6,2,170,33,apple
4,3,190,29,orange
4,3,80,16,peach
3,4,130,22,orange
5,2,160,31,apple
4,3,150,24,peach
4,3,130,20,peach
6,2,110,28,apple
3,3,130,27,orange
3,3,160,17,orange
2,5,140,15,lemon
4,3,160,24,peach
2,4,180,28,orange
3,5,140,22,orange
4,4,140,16,orange
3,4,110,20,orange
6,2,150,35,apple
5,2,200,30,apple
3,4,130,21,orange
5,2,120,22,apple
2,5,120,10,lemon
2,5,120,14,lemon
3,4,160,20,orange
5,2,150,36,apple
6,2,190,28,apple
6,2,160,21,apple
5,2,210,36,apple
4,3,110,20,peach
4,4,150,34,orange
4,2,130,24,apple
4,3,180,21,peach
2,5,110,11,lemon
2,5,110,16,lemon
4,3,150,16,peach
4,3,120,18,peach
4,4,130,22,peach
5,2,160,37,apple
4,4,50,23,peach
4,3,130,25,peach
4,4,70,26,orange
5,2,190,28,apple
3,4,150,22,orange
3,4,140,22,orange
4,3,50,23,peach
2,5,130,10,lemon
5,2,140,37,apple
3,2,120,26,peach
2,4,170,25,orange
2,4,160,22,orange
4,3,120,18,peach
5,2,150,37,apple
2,5,100,16,lemon
5,2,130,28,apple
2,5,130,14,lemon
2,5,120,13,lemon
5,2,180,31,apple
2,5,110,22,lemon
2,5,150,22,orange
5,2,140,26,apple
4,2,160,30,apple
2,5,120,19,lemon
3,4,120,19,orange
2,4,130,22,orange
3,4,180,18,orange
4,3,140,19,peach
2,5,110,14,lemon
4,2,170,25,apple
2,5,120,15,lemon
5,2,210,20,apple
4,4,130,20,orange
2,5,130,12,lemon
5,3,110,24,peach
4,4,110,25,orange
2,5,120,16,lemon
5,2,130,29,apple
2,5,120,15,lemon
2,5,170,13,orange
2,5,120,17,lemon
2,5,140,15,lemon
4,3,140,19,peach
5,2,110,38,apple
6,2,110,26,apple
2,5,120,16,lemon
2,5,120,17,lemon
6,2,90,23,apple
3,3,100,18,peach
2,5,120,15,lemon
3,4,140,24,orange
4,3,140,20,peach
2,4,70,20,orange
4,3,180,20,peach
4,3,190,31,peach
4,3,170,19,peach
3,4,140,23,orange
5,1,110,26,apple
2,5,120,19,lemon
4,3,170,34,orange
4,3,90,20,peach
5,2,170,29,apple
3,4,170,25,orange
2,5,120,16,lemon
2,5,100,15,lemon
2,5,120,16,lemon
4,3,170,25,peach
5,2,110,27,apple
2,5,140,13,lemon
2,5,120,14,lemon
2,5,130,13,lemon
5,3,150,21,peach
4,3,130,22,peach
3,3,100,25,peach
6,2,150,31,apple
3,3,60,29,orange
4,4,140,24,peach
2,5,140,19,lemon
4,4,210,17,orange
3,3,140,22,orange
2,5,120,10,lemon
2,5,100,19,lemon
2,5,110,15,lemon
3,4,110,24,orange
5,2,140,38,apple
5,2,90,27,apple
3,3,110,21,peach
3,4,50,15,orange
4,3,150,20,peach
3,3,180,19,peach
5,3,110,20,peach
6,2,130,36,apple
6,2,130,34,apple
2,5,130,20,lemon
4,3,140,20,peach
3,4,120,29,orange
2,4,150,20,orange
6,2,160,31,apple
3,3,200,17,orange
3,3,130,20,peach
5,2,140,34,apple
2,4,150,22,orange
2,5,140,16,lemon
2,5,120,16,lemon
5,2,160,35,apple
4,3,160,13,peach
4,2,160,22,apple
2,5,130,16,lemon
2,5,120,11,lemon
2,5,120,14,lemon
3,4,190,32,orange
6,3,170,30,apple
2,4,80,28,orange
4,3,160,15,peach
2,5,130,13,lemon
4,3,110,18,peach
2,5,120,18,lemon
2,5,110,20,lemon
2,5,110,12,lemon
2,5,130,23,lemon
2,5,100,15,lemon
2,4,150,27,orange
5,2,190,25,apple
2,5,120,16,lemon
2,5,110,16,lemon
2,5,120,12,lemon
3,4,180,20,orange
2,5,110,20,lemon
5,2,140,17,apple
2,5,100,17,lemon
3,5,120,36,orange
4,3,220,28,peach
5,2,140,31,apple
2,5,150,15,lemon
3,5,150,18,orange
4,3,100,24,peach
4,3,140,19,peach
2,5,110,16,lemon
3,5,210,23,orange
4,2,150,31,apple
3,4,150,27,orange
5,4,100,27,peach
5,2,120,23,apple
3,5,150,26,orange
3,3,100,27,orange
4,2,90,20,peach
5,2,150,38,apple
4,3,170,21,peach
2,5,120,15,lemon
2,5,120,15,lemon
3,3,140,22,peach
2,5,130,18,lemon
4,2,180,33,apple
3,4,150,19,orange
2,5,120,12,lemon
3,4,140,21,orange
5,2,190,29,apple
3,4,140,23,orange
3,3,220,32,orange
4,3,150,34,orange
5,3,110,19,peach
4,4,120,24,orange
3,4,150,33,orange
4,3,120,21,peach
2,5,110,15,lemon
4,3,160,21,peach
2,5,110,16,lemon
2,5,120,20,lemon
2,5,110,13,lemon
3,4,180,29,orange
3,5,210,23,orange
5,2,160,33,apple
4,3,180,16,peach
4,3,110,15,peach
3,5,130,20,orange
2,5,140,17,lemon
3,3,130,19,peach
4,3,140,21,peach
3,3,140,22,peach
3,4,200,26,orange
2,5,120,18,lemon
2,5,120,15,lemon
3,3,150,20,orange
5,2,180,27,apple
3,4,160,22,orange
4,5,170,26,orange
5,2,160,27,apple
4,5,150,28,orange
5,2,140,32,apple
2,5,150,13,lemon
4,3,80,19,peach
2,5,130,17,lemon
4,3,140,23,peach
3,4,160,26,orange
3,4,200,27,orange
2,5,120,14,lemon
3,4,180,29,orange
4,3,130,19,peach
4,3,120,22,peach
3,3,160,23,peach
4,3,120,24,peach
3,4,60,26,orange
2,5,120,21,lemon
4,3,120,14,peach
3,4,190,22,orange
4,3,160,21,peach
2,5,110,15,lemon
2,5,110,17,lemon
3,4,130,22,orange
4,3,130,23,peach
3,4,180,27,orange
2,5,110,12,lemon
2,5,130,18,lemon
5,2,160,34,apple
4,3,140,21,peach
3,4,150,17,orange
5,3,200,31,apple
2,5,110,15,lemon
5,2,160,32,apple
3,4,140,24,orange
3,4,140,32,orange
2,5,130,14,lemon
4,3,100,21,peach
6,2,150,35,apple
5,2,220,24,apple
5,2,110,27,apple
4,3,90,24,peach
2,5,130,14,lemon
4,2,190,24,apple
5,2,130,34,apple
3,3,130,19,peach
3,4,150,22,orange
3,3,150,18,peach
5,1,140,35,apple
5,3,150,17,peach
2,5,110,18,lemon
4,3,110,15,peach
5,2,120,32,apple
2,5,110,16,lemon
2,5,130,13,lemon
3,3,180,23,peach
4,3,120,23,peach
5,2,140,26,apple
3,4,240,28,orange
2,5,100,15,lemon
4,3,140,27,peach
5,2,140,38,apple
2,5,120,15,lemon
4,4,170,31,orange
2,5,130,10,lemon
3,5,110,25,orange
5,2,150,36,apple
5,2,140,31,apple
5,2,120,26,apple
2,5,140,11,lemon
4,3,120,19,peach
2,5,120,14,lemon
3,4,220,20,orange
3,3,150,27,peach
2,5,120,11,lemon
4,3,210,20,peach
2,4,160,33,orange
2,4,110,23,orange
3,4,110,32,orange
2,5,130,11,lemon
4,3,160,14,peach
4,3,110,16,peach
2,5,120,15,lemon
2,5,110,17,lemon
4,3,70,23,peach
4,3,190,17,peach
4,3,160,22,peach
2,5,130,13,lemon
4,2,160,35,apple
2,5,120,16,lemon
4,4,200,26,orange
6,2,110,34,apple
2,5,140,18,lemon
5,2,130,24,apple
2,5,100,18,lemon
5,2,150,22,apple
4,2,190,20,peach
2,5,110,21,lemon
2,5,120,20,lemon
5,2,130,34,apple
3,5,130,25,orange
6,2,170,29,apple
2,5,140,19,orange
2,5,120,16,lemon
5,1,150,27,apple
5,2,190,24,apple
2,4,110,22,orange
2,5,120,12,lemon
3,3,140,20,peach
3,4,110,29,orange
4,4,110,21,orange
2,5,100,12,lemon
2,5,100,15,lemon
2,5,120,12,lemon
5,2,160,26,apple
6,2,160,32,apple
2,5,130,13,lemon
5,2,100,37,apple
4,3,120,19,peach
4,3,120,21,peach
5,2,130,34,apple
2,5,130,20,lemon
3,3,100,18,peach
5,2,110,33,apple
2,4,180,20,orange
5,3,120,20,peach
2,5,110,16,lemon
2,5,110,16,lemon
4,4,120,21,orange
5,2,120,24,apple
3,4,110,22,orange
5,3,150,15,peach
5,1,180,34,apple
5,2,230,34,apple
4,3,160,27,peach
4,4,120,25,peach
2,5,120,15,lemon
4,5,140,23,orange
2,5,110,17,lemon
6,2,140,26,apple
3,4,100,31,orange
4,2,160,25,apple
2,3,150,24,orange
3,3,120,21,peach
4,4,150,24,orange
2,5,140,17,lemon
2,5,150,16,lemon
3,3,220,21,orange
4,3,200,14,peach
3,4,200,24,orange
4,4,120,20,peach
3,4,130,30,orange
4,2,100,21,peach
4,3,150,20,peach
2,5,120,14,lemon
3,4,170,33,orange
5,1,210,22,apple
5,2,120,28,apple
2,5,110,22,lemon
3,3,120,18,peach
2,5,140,12,lemon
3,3,130,17,peach
5,2,200,33,apple
2,5,120,10,lemon
5,2,130,36,apple
2,5,120,14,lemon
4,3,130,15,peach
4,3,120,21,peach
2,5,120,18,lemon
5,2,110,34,apple
3,4,190,29,orange
2,4,150,33,orange
4,2,150,29,apple
2,5,130,20,lemon
4,3,160,29,peach
2,5,120,14,lemon
4,2,110,27,peach
5,2,170,48,apple
4,4,160,30,orange
4,3,100,25,peach
2,5,120,14,lemon
2,5,120,15,lemon
3,4,100,19,orange
4,3,130,21,peach
